Designator,Mid X,Mid Y,Rotation,Layer
D1,74.571,-200.4813,0.0,top
D2,74.5,-225.5001,0.0,top
D3,99.5,-200.5,0.0,top
D4,99.5,-225.5,0.0,top
D5,124.5,-200.5,0.0,top
D6,124.5,-225.5,0.0,top
D7,149.5,-200.5,0.0,top
D8,149.453,-225.5187,0.0,top
ENC1,75.5,-270.5,0.0,top
J1,92.0,-214.7,90.0,bottom
J2_2,98.5,-257.88,180.0,bottom
J2,142.1,-214.1,90.0,bottom
SW1,74.571,-200.4813,0.0,top
SW2,74.5,-225.5001,0.0,top
SW3,99.5,-200.5,0.0,top
SW4,99.5,-225.5,0.0,top
SW5,124.5,-200.5,0.0,top
SW6,124.5,-225.5,0.0,top
SW7,149.5,-200.5,0.0,top
SW8,149.437,-225.5187,0.0,top
SWc1,113.31,-276.81,180.0,top
SWc2,153.31,-276.81,180.0,top
SWc3,133.31,-276.81,180.0,top
SWc4,153.31,-256.81,180.0,top
SWc5,133.31,-256.81,180.0,top
SWc6,113.31,-256.81,180.0,top
