Designator;Mid X;Mid Y;Layer;Rotation
C1;112.513596;-118.39663;top;270.0
C10;114.773425;-107.035704;top;67.5
C100;157.044291;-139.759829;top;202.5
C101;156.594783;-137.5;top;180.0
C102;157.044291;-135.240171;top;157.5
C103;158.324381;-133.324381;top;135.0
C104;160.240171;-132.044291;top;112.5
C105;162.5;-131.594783;top;90.0
C106;164.759829;-132.044291;top;67.5
C107;166.675619;-133.324381;top;45.0
C108;167.955709;-135.240171;top;22.5
C109;168.405217;-137.5;top;0.0
C11;116.689215;-108.315794;top;45.0
C110;167.955709;-139.759829;top;337.5
C111;166.675619;-141.675619;top;315.0
C112;164.759829;-142.955709;top;292.5
C113;187.5;-143.405217;top;270.0
C114;185.240171;-142.955709;top;247.5
C115;183.324381;-141.675619;top;225.0
C116;182.044291;-139.759829;top;202.5
C117;181.594783;-137.5;top;180.0
C118;182.044291;-135.240171;top;157.5
C119;183.324381;-133.324381;top;135.0
C12;117.969305;-110.231584;top;22.5
C120;185.240171;-132.044291;top;112.5
C121;187.5;-131.594783;top;90.0
C122;189.759829;-132.044291;top;67.5
C123;191.675619;-133.324381;top;45.0
C124;192.955709;-135.240171;top;22.5
C125;193.405217;-137.5;top;0.0
C126;192.955709;-139.759829;top;337.5
C127;191.675619;-141.675619;top;315.0
C128;189.759829;-142.955709;top;292.5
C13;118.418813;-112.491413;top;0.0
C14;117.969305;-114.751242;top;337.5
C15;116.689215;-116.667032;top;315.0
C16;114.773425;-117.947122;top;292.5
C17;137.5;-118.405217;top;270.0
C18;135.240171;-117.955709;top;247.5
C19;133.324381;-116.675619;top;225.0
C2;110.253767;-117.947122;top;247.5
C20;132.044291;-114.759829;top;202.5
C21;131.594783;-112.5;top;180.0
C22;132.044291;-110.240171;top;157.5
C23;133.324381;-108.324381;top;135.0
C24;135.240171;-107.044291;top;112.5
C25;137.5;-106.594783;top;90.0
C26;139.759829;-107.044291;top;67.5
C27;141.675619;-108.324381;top;45.0
C28;142.955709;-110.240171;top;22.5
C29;143.405217;-112.5;top;0.0
C3;108.337977;-116.667032;top;225.0
C30;142.955709;-114.759829;top;337.5
C31;141.675619;-116.675619;top;315.0
C32;139.759829;-117.955709;top;292.5
C33;162.5;-118.405217;top;270.0
C34;160.240171;-117.955709;top;247.5
C35;158.324381;-116.675619;top;225.0
C36;157.044291;-114.759829;top;202.5
C37;156.594783;-112.5;top;180.0
C38;157.044291;-110.240171;top;157.5
C39;158.324381;-108.324381;top;135.0
C4;107.057887;-114.751242;top;202.5
C40;160.240171;-107.044291;top;112.5
C41;162.5;-106.594783;top;90.0
C42;164.759829;-107.044291;top;67.5
C43;166.675619;-108.324381;top;45.0
C44;167.955709;-110.240171;top;22.5
C45;168.405217;-112.5;top;0.0
C46;167.955709;-114.759829;top;337.5
C47;166.675619;-116.675619;top;315.0
C48;164.759829;-117.955709;top;292.5
C49;187.5;-118.405217;top;270.0
C5;106.608379;-112.491413;top;180.0
C50;185.240171;-117.955709;top;247.5
C51;183.324381;-116.675619;top;225.0
C52;182.044291;-114.759829;top;202.5
C53;181.594783;-112.5;top;180.0
C54;182.044291;-110.240171;top;157.5
C55;183.324381;-108.324381;top;135.0
C56;185.240171;-107.044291;top;112.5
C57;187.5;-106.594783;top;90.0
C58;189.759829;-107.044291;top;67.5
C59;191.675619;-108.324381;top;45.0
C6;107.057887;-110.231584;top;157.5
C60;192.955709;-110.240171;top;22.5
C61;193.405217;-112.5;top;0.0
C62;192.955709;-114.759829;top;337.5
C63;191.675619;-116.675619;top;315.0
C64;189.759829;-117.955709;top;292.5
C65;112.5;-143.405217;top;270.0
C66;110.240171;-142.955709;top;247.5
C67;108.324381;-141.675619;top;225.0
C68;107.044291;-139.759829;top;202.5
C69;106.594783;-137.5;top;180.0
C7;108.337977;-108.315794;top;135.0
C70;107.044291;-135.240171;top;157.5
C71;108.324381;-133.324381;top;135.0
C72;110.240171;-132.044291;top;112.5
C73;112.5;-131.594783;top;90.0
C74;114.759829;-132.044291;top;67.5
C75;116.675619;-133.324381;top;45.0
C76;117.955709;-135.240171;top;22.5
C77;118.405217;-137.5;top;0.0
C78;117.955709;-139.759829;top;337.5
C79;116.675619;-141.675619;top;315.0
C8;110.253767;-107.035704;top;112.5
C80;114.759829;-142.955709;top;292.5
C81;137.5;-143.4;top;270.0
C82;135.240171;-142.950492;top;247.5
C83;133.324381;-141.670402;top;225.0
C84;132.044291;-139.754612;top;202.5
C85;131.594783;-137.494783;top;180.0
C86;132.044291;-135.234954;top;157.5
C87;133.324381;-133.319164;top;135.0
C88;135.240171;-132.039074;top;112.5
C89;137.5;-131.589566;top;90.0
C9;112.513596;-106.586196;top;90.0
C90;139.759829;-132.039074;top;67.5
C91;141.675619;-133.319164;top;45.0
C92;142.955709;-135.234954;top;22.5
C93;143.405217;-137.494783;top;0.0
C94;142.955709;-139.754612;top;337.5
C95;141.675619;-141.670402;top;315.0
C96;139.759829;-142.950492;top;292.5
C97;162.5;-143.405217;top;270.0
C98;160.240171;-142.955709;top;247.5
C99;158.324381;-141.675619;top;225.0
D1;112.513596;-121.89663;top;90.0
D10;116.112817;-103.802126;top;247.5
D100;153.810713;-141.099221;top;22.5
D101;153.094783;-137.5;top;0.0
D102;153.810713;-133.900779;top;337.5
D103;155.849507;-130.849507;top;315.0
D104;158.900779;-128.810713;top;292.5
D105;162.5;-128.094783;top;270.0
D106;166.099221;-128.810713;top;247.5
D107;169.150493;-130.849507;top;225.0
D108;171.189287;-133.900779;top;202.5
D109;171.905217;-137.5;top;180.0
D11;119.164089;-105.84092;top;225.0
D110;171.189287;-141.099221;top;157.5
D111;169.150493;-144.150493;top;135.0
D112;166.099221;-146.189287;top;112.5
D113;187.5;-146.905217;top;90.0
D114;183.900779;-146.189287;top;67.5
D115;180.849507;-144.150493;top;45.0
D116;178.810713;-141.099221;top;22.5
D117;178.094783;-137.5;top;0.0
D118;178.810713;-133.900779;top;337.5
D119;180.849507;-130.849507;top;315.0
D12;121.202883;-108.892192;top;202.5
D120;183.900779;-128.810713;top;292.5
D121;187.5;-128.094783;top;270.0
D122;191.099221;-128.810713;top;247.5
D123;194.150493;-130.849507;top;225.0
D124;196.189287;-133.900779;top;202.5
D125;196.905217;-137.5;top;180.0
D126;196.189287;-141.099221;top;157.5
D127;194.150493;-144.150493;top;135.0
D128;191.099221;-146.189287;top;112.5
D13;121.918813;-112.491413;top;180.0
D14;121.202883;-116.090634;top;157.5
D15;119.164089;-119.141906;top;135.0
D16;116.112817;-121.1807;top;112.5
D17;137.5;-121.905217;top;90.0
D18;133.900779;-121.189287;top;67.5
D19;130.849507;-119.150493;top;45.0
D2;108.914375;-121.1807;top;67.5
D20;128.810713;-116.099221;top;22.5
D21;128.094783;-112.5;top;0.0
D22;128.810713;-108.900779;top;337.5
D23;130.849507;-105.849507;top;315.0
D24;133.900779;-103.810713;top;292.5
D25;137.5;-103.094783;top;270.0
D26;141.099221;-103.810713;top;247.5
D27;144.150493;-105.849507;top;225.0
D28;146.189287;-108.900779;top;202.5
D29;146.905217;-112.5;top;180.0
D3;105.863103;-119.141906;top;45.0
D30;146.189287;-116.099221;top;157.5
D31;144.150493;-119.150493;top;135.0
D32;141.099221;-121.189287;top;112.5
D33;162.5;-121.905217;top;90.0
D34;158.900779;-121.189287;top;67.5
D35;155.849507;-119.150493;top;45.0
D36;153.810713;-116.099221;top;22.5
D37;153.094783;-112.5;top;0.0
D38;153.810713;-108.900779;top;337.5
D39;155.849507;-105.849507;top;315.0
D4;103.824309;-116.090634;top;22.5
D40;158.900779;-103.810713;top;292.5
D41;162.5;-103.094783;top;270.0
D42;166.099221;-103.810713;top;247.5
D43;169.150493;-105.849507;top;225.0
D44;171.189287;-108.900779;top;202.5
D45;171.905217;-112.5;top;180.0
D46;171.189287;-116.099221;top;157.5
D47;169.150493;-119.150493;top;135.0
D48;166.099221;-121.189287;top;112.5
D49;187.5;-121.905217;top;90.0
D5;103.108379;-112.491413;top;0.0
D50;183.900779;-121.189287;top;67.5
D51;180.849507;-119.150493;top;45.0
D52;178.810713;-116.099221;top;22.5
D53;178.094783;-112.5;top;0.0
D54;178.810713;-108.900779;top;337.5
D55;180.849507;-105.849507;top;315.0
D56;183.900779;-103.810713;top;292.5
D57;187.5;-103.094783;top;270.0
D58;191.099221;-103.810713;top;247.5
D59;194.150493;-105.849507;top;225.0
D6;103.824309;-108.892192;top;337.5
D60;196.189287;-108.900779;top;202.5
D61;196.905217;-112.5;top;180.0
D62;196.189287;-116.099221;top;157.5
D63;194.150493;-119.150493;top;135.0
D64;191.099221;-121.189287;top;112.5
D65;112.5;-146.905217;top;90.0
D66;108.900779;-146.189287;top;67.5
D67;105.849507;-144.150493;top;45.0
D68;103.810713;-141.099221;top;22.5
D69;103.094783;-137.5;top;0.0
D7;105.863103;-105.84092;top;315.0
D70;103.810713;-133.900779;top;337.5
D71;105.849507;-130.849507;top;315.0
D72;108.900779;-128.810713;top;292.5
D73;112.5;-128.094783;top;270.0
D74;116.099221;-128.810713;top;247.5
D75;119.150493;-130.849507;top;225.0
D76;121.189287;-133.900779;top;202.5
D77;121.905217;-137.5;top;180.0
D78;121.189287;-141.099221;top;157.5
D79;119.150493;-144.150493;top;135.0
D8;108.914375;-103.802126;top;292.5
D80;116.099221;-146.189287;top;112.5
D81;137.5;-146.9;top;90.0
D82;133.900779;-146.18407;top;67.5
D83;130.849507;-144.145276;top;45.0
D84;128.810713;-141.094004;top;22.5
D85;128.094783;-137.494783;top;0.0
D86;128.810713;-133.895562;top;337.5
D87;130.849507;-130.84429;top;315.0
D88;133.900779;-128.805496;top;292.5
D89;137.5;-128.089566;top;270.0
D9;112.513596;-103.086196;top;270.0
D90;141.099221;-128.805496;top;247.5
D91;144.150493;-130.84429;top;225.0
D92;146.189287;-133.895562;top;202.5
D93;146.905217;-137.494783;top;180.0
D94;146.189287;-141.094004;top;157.5
D95;144.150493;-144.145276;top;135.0
D96;141.099221;-146.18407;top;112.5
D97;162.5;-146.905217;top;90.0
D98;158.900779;-146.189287;top;67.5
D99;155.849507;-144.150493;top;45.0
J4;101.75;-127.54;bottom;0.0
J5;198.25;-127.54;bottom;0.0
